"time","wl","t","wlnt"
2017-03-09 23:00:00,1660,33.2095890410959,1547.0012653115
2017-03-10 00:00:00,1292,33.209703196347,1179.00087688757
2017-03-10 01:00:00,963,33.2098173515982,850.000488463645
2017-03-10 02:00:00,709,33.2099315068493,596.000100039719
2017-03-10 03:00:00,627,33.2100456621005,513.999711615794
2017-03-10 04:00:00,829,33.2101598173516,715.999323191868
2017-03-10 05:00:00,1236,33.2102739726027,1122.99893476794
2017-03-10 06:00:00,1705,33.2103881278539,1591.99854634402
2017-03-10 07:00:00,2165,33.210502283105,2051.99815792009
2017-03-10 08:00:00,2545,33.2106164383562,2431.99776949617
2017-03-10 09:00:00,2718,33.2107305936073,2604.99738107224
2017-03-10 10:00:00,2633,33.2108447488584,2519.99699264832
2017-03-10 11:00:00,2272,33.2109589041096,2158.99660422439
2017-03-10 12:00:00,1845,33.2110730593607,1731.99621580047
2017-03-10 13:00:00,1437,33.2111872146119,1323.99582737654
2017-03-10 14:00:00,1073,33.211301369863,959.995438952614
2017-03-10 15:00:00,815,33.2114155251142,701.995050528689
2017-03-10 16:00:00,710,33.2115296803653,596.994662104763
2017-03-10 17:00:00,895,33.2116438356164,781.994273680838
2017-03-10 18:00:00,1261,33.2117579908676,1147.99388525691
2017-03-10 19:00:00,1664,33.2118721461187,1550.99349683299
2017-03-10 20:00:00,2027,33.2119863013699,1913.99310840906
2017-03-10 21:00:00,2245,33.212100456621,2131.99271998514
2017-03-10 22:00:00,2253,33.2122146118721,2139.99233156121
2017-03-10 23:00:00,1993,33.2123287671233,1879.99194313729
2017-03-11 00:00:00,1618,33.2124429223744,1504.99155471336
2017-03-11 01:00:00,1212,33.2125570776256,1098.99116628943
2017-03-11 02:00:00,874,33.2126712328767,760.990777865509
2017-03-11 03:00:00,618,33.2127853881279,504.990389441584
2017-03-11 04:00:00,522,33.212899543379,408.990001017658
2017-03-11 05:00:00,777,33.2130136986301,663.989612593733
2017-03-11 06:00:00,1227,33.2131278538813,1113.98922416981
2017-03-11 07:00:00,1728,33.2132420091324,1614.98883574588
2017-03-11 08:00:00,2197,33.2133561643836,2083.98844732196
2017-03-11 09:00:00,2553,33.2134703196347,2439.98805889803
2017-03-11 10:00:00,2687,33.2135844748858,2573.98767047411
2017-03-11 11:00:00,2504,33.213698630137,2390.98728205018
2017-03-11 12:00:00,2080,33.2138127853881,1966.98689362625
2017-03-11 13:00:00,1650,33.2139269406393,1536.98650520233
2017-03-11 14:00:00,1215,33.2140410958904,1101.9861167784
2017-03-11 15:00:00,881,33.2141552511416,767.985728354479
2017-03-11 16:00:00,645,33.2142694063927,531.985339930553
2017-03-11 17:00:00,626,33.2143835616438,512.984951506628
2017-03-11 18:00:00,903,33.214497716895,789.984563082702
2017-03-11 19:00:00,1317,33.2146118721461,1203.98417465878
2017-03-11 20:00:00,1748,33.2147260273973,1634.98378623485
2017-03-11 21:00:00,2099,33.2148401826484,1985.98339781093
2017-03-11 22:00:00,2286,33.2149543378995,2172.983009387
2017-03-11 23:00:00,2220,33.2150684931507,2106.98262096308
2017-03-12 00:00:00,1896,33.2151826484018,1782.98223253915
2017-03-12 01:00:00,1499,33.215296803653,1385.98184411522
2017-03-12 02:00:00,1112,33.2154109589041,998.981455691299
2017-03-12 03:00:00,771,33.2155251141552,657.981067267374
2017-03-12 04:00:00,521,33.2156392694064,407.980678843448
2017-03-12 05:00:00,511,33.2157534246575,397.980290419523
2017-03-12 06:00:00,870,33.2158675799087,756.979901995597
2017-03-12 07:00:00,1328,33.2159817351598,1214.97951357167
2017-03-12 08:00:00,1836,33.216095890411,1722.97912514775
2017-03-12 09:00:00,2261,33.2162100456621,2147.97873672382
2017-03-12 10:00:00,2535,33.2163242009132,2421.9783482999
2017-03-12 11:00:00,2555,33.2164383561644,2441.97795987597
2017-03-12 12:00:00,2265,33.2165525114155,2151.97757145204
2017-03-12 13:00:00,1823,33.2166666666667,1709.97718302812
2017-03-12 14:00:00,1392,33.2167808219178,1278.97679460419
2017-03-12 15:00:00,1009,33.2168949771689,895.976406180268
2017-03-12 16:00:00,692,33.2170091324201,578.976017756343
2017-03-12 17:00:00,538,33.2171232876712,424.975629332418
2017-03-12 18:00:00,661,33.2172374429224,547.975240908492
2017-03-12 19:00:00,1047,33.2173515981735,933.974852484567
2017-03-12 20:00:00,1488,33.2174657534247,1374.97446406064
2017-03-12 21:00:00,1896,33.2175799086758,1782.97407563672
2017-03-12 22:00:00,2222,33.2176940639269,2108.97368721279
2017-03-12 23:00:00,2309,33.2178082191781,2195.97329878887
2017-03-13 00:00:00,2128,33.2179223744292,2014.97291036494
2017-03-13 01:00:00,1753,33.2180365296804,1639.97252194101
2017-03-13 02:00:00,1345,33.2181506849315,1231.97213351709
2017-03-13 03:00:00,967,33.2182648401826,853.971745093163
2017-03-13 04:00:00,658,33.2183789954338,544.971356669238
2017-03-13 05:00:00,464,33.2184931506849,350.970968245312
2017-03-13 06:00:00,583,33.2186073059361,469.970579821387
2017-03-13 07:00:00,967,33.2187214611872,853.970191397462
2017-03-13 08:00:00,1449,33.2188356164384,1335.96980297354
2017-03-13 09:00:00,1918,33.2189497716895,1804.96941454961
2017-03-13 10:00:00,2286,33.2190639269406,2172.96902612569
2017-03-13 11:00:00,2441,33.2191780821918,2327.96863770176
2017-03-13 12:00:00,2335,33.2192922374429,2221.96824927783
2017-03-13 13:00:00,1953,33.2194063926941,1839.96786085391
2017-03-13 14:00:00,1530,33.2195205479452,1416.96747242998
2017-03-13 15:00:00,1129,33.2196347031963,1015.96708400606
2017-03-13 16:00:00,771,33.2197488584475,657.966695582133
2017-03-13 17:00:00,511,33.2198630136986,397.966307158207
2017-03-13 18:00:00,465,33.2199771689498,351.965918734282
2017-03-13 19:00:00,730,33.2200913242009,616.965530310357
2017-03-13 20:00:00,1167,33.2202054794521,1053.96514188643
2017-03-13 21:00:00,1602,33.2203196347032,1488.96475346251
2017-03-13 22:00:00,1984,33.2204337899543,1870.96436503858
2017-03-13 23:00:00,2220,33.2205479452055,2106.96397661465
2017-03-14 00:00:00,2210,33.2206621004566,2096.96358819073
2017-03-14 01:00:00,1934,33.2207762557078,1820.9631997668
2017-03-14 02:00:00,1531,33.2208904109589,1417.96281134288
2017-03-14 03:00:00,1127,33.22100456621,1013.96242291895
2017-03-14 04:00:00,777,33.2211187214612,663.962034495028
2017-03-14 05:00:00,526,33.2212328767123,412.961646071102
2017-03-14 06:00:00,450,33.2213470319635,336.961257647177
2017-03-14 07:00:00,689,33.2214611872146,575.960869223251
2017-03-14 08:00:00,1102,33.2215753424658,988.960480799326
2017-03-14 09:00:00,1560,33.2216894977169,1446.9600923754
2017-03-14 10:00:00,1961,33.221803652968,1847.95970395148
2017-03-14 11:00:00,2249,33.2219178082192,2135.95931552755
2017-03-14 12:00:00,2320,33.2220319634703,2206.95892710362
2017-03-14 13:00:00,2080,33.2221461187215,1966.9585386797
2017-03-14 14:00:00,1696,33.2222602739726,1582.95815025577
2017-03-14 15:00:00,1264,33.2223744292237,1150.95776183185
2017-03-14 16:00:00,888,33.2224885844749,774.957373407923
2017-03-14 17:00:00,580,33.222602739726,466.956984983997
2017-03-14 18:00:00,412,33.2227168949772,298.956596560072
2017-03-14 19:00:00,503,33.2228310502283,389.956208136146
2017-03-14 20:00:00,872,33.2229452054795,758.955819712221
2017-03-14 21:00:00,1287,33.2230593607306,1173.9554312883
2017-03-14 22:00:00,1695,33.2231735159817,1581.95504286437
2017-03-14 23:00:00,2038,33.2232876712329,1924.95465444044
2017-03-15 00:00:00,2191,33.223401826484,2077.95426601652
2017-03-15 01:00:00,2021,33.2235159817352,1907.95387759259
2017-03-15 02:00:00,1682,33.2236301369863,1568.95348916867
2017-03-15 03:00:00,1320,33.2237442922374,1206.95310074474
2017-03-15 04:00:00,940,33.2238584474886,826.952712320818
2017-03-15 05:00:00,676,33.2239726027397,562.952323896892
2017-03-15 06:00:00,502,33.2240867579909,388.951935472967
2017-03-15 07:00:00,539,33.224200913242,425.951547049041
2017-03-15 08:00:00,901,33.2243150684931,787.951158625116
2017-03-15 09:00:00,1315,33.2244292237443,1201.95077020119
2017-03-15 10:00:00,1720,33.2245433789954,1606.95038177726
2017-03-15 11:00:00,2048,33.2246575342466,1934.94999335334
2017-03-15 12:00:00,2216,33.2247716894977,2102.94960492941
2017-03-15 13:00:00,2110,33.2248858447489,1996.94921650549
2017-03-15 14:00:00,1797,33.225,1683.94882808156
2017-03-15 15:00:00,1409,33.2251141552511,1295.94843965764
2017-03-15 16:00:00,1060,33.2252283105023,946.948051233712
