"0%"&"25%"&"50%"&"75%"&"100%"
"1"&0.267232439955883&0.555318110469726&0.666008600554931&0.80923883634863&2.63495665523221
"2"&0.154497078207567&0.260056617300072&0.293668623363131&0.33334896325206&0.666879849581226
