"0%"&"25%"&"50%"&"75%"&"100%"
"1"&0.215302436837443&0.41942125522279&0.493788782465151&0.58750435109216&1.64421463658139
"2"&0.131238482110897&0.214218870132639&0.240010096191985&0.270133949080856&0.512933143971339
