"0%"&"25%"&"50%"&"75%"&"100%"
"1"&0.228004424366886&0.45155857584769&0.534124330034116&0.638872671748691&1.85724914300304
"2"&0.137098228692278&0.22559226992508&0.253272068621431&0.285692009563269&0.549851244813902
